2013-12-16 16:49:41 Notice: Notice (8): session_start(): ps_files_cleanup_dir: opendir(/var/lib/php/session) failed: Permission denied (13) in [/var/www/vhosts/boostbloom.com/httpdocs/vendor/facebook/php-sdk/src/facebook.php, line 59]
2013-12-16 19:24:08 Notice: Notice (8): Undefined index: city_json in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/users/controllers/users_controller.php, line 756]
2013-12-16 19:24:31 Notice: Notice (8): Undefined index: city_json in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/users/controllers/users_controller.php, line 756]
2013-12-17 04:00:03 Notice: Notice (8): session_start(): ps_files_cleanup_dir: opendir(/var/lib/php/session) failed: Permission denied (13) in [/var/www/vhosts/boostbloom.com/httpdocs/vendor/facebook/php-sdk/src/facebook.php, line 59]
2013-12-17 07:55:02 Notice: Notice (8): session_start(): ps_files_cleanup_dir: opendir(/var/lib/php/session) failed: Permission denied (13) in [/var/www/vhosts/boostbloom.com/httpdocs/vendor/facebook/php-sdk/src/facebook.php, line 59]
2013-12-17 10:00:03 Notice: Notice (8): session_start(): ps_files_cleanup_dir: opendir(/var/lib/php/session) failed: Permission denied (13) in [/var/www/vhosts/boostbloom.com/httpdocs/vendor/facebook/php-sdk/src/facebook.php, line 59]
2013-12-17 14:05:14 Notice: Notice (8): Undefined index: end_date in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 1022]
2013-12-17 14:23:37 Notice: Notice (8): Undefined index: is_cancelled in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 1675]
2013-12-17 14:40:16 Notice: Notice (8): session_start(): ps_files_cleanup_dir: opendir(/var/lib/php/session) failed: Permission denied (13) in [/var/www/vhosts/boostbloom.com/httpdocs/vendor/facebook/php-sdk/src/facebook.php, line 59]
2013-12-17 15:16:30 Notice: Notice (8): Undefined index: parent_id in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/blogs/controllers/blog_post_comments_controller.php, line 73]
2013-12-17 15:42:24 Notice: Notice (8): Undefined index: end_date in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 1022]
2013-12-17 17:24:01 Notice: Notice (8): session_start(): ps_files_cleanup_dir: opendir(/var/lib/php/session) failed: Permission denied (13) in [/var/www/vhosts/boostbloom.com/httpdocs/vendor/facebook/php-sdk/src/facebook.php, line 59]
2013-12-17 17:43:53 Notice: Notice (8): Undefined index: email in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/facebook/controllers/components/connect.php, line 192]
2013-12-17 17:43:53 Notice: Notice (8): Undefined index: email in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/facebook/controllers/components/connect.php, line 207]
2013-12-17 17:43:53 Notice: Notice (8): Undefined index: email in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/facebook/controllers/components/connect.php, line 222]
2013-12-17 17:43:53 Notice: Notice (8): Undefined index: email in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/facebook/controllers/components/connect.php, line 229]
2013-12-17 17:44:01 Notice: Notice (8): Undefined index: email in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/facebook/controllers/components/connect.php, line 192]
2013-12-17 17:44:01 Notice: Notice (8): Undefined index: email in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/facebook/controllers/components/connect.php, line 207]
2013-12-17 17:44:01 Notice: Notice (8): Undefined index: email in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/facebook/controllers/components/connect.php, line 222]
2013-12-17 17:44:01 Notice: Notice (8): Undefined index: email in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/facebook/controllers/components/connect.php, line 229]
2013-12-17 18:16:39 Notice: Notice (8): Undefined index: end_date in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 1022]
2013-12-17 18:26:12 Notice: Notice (8): Undefined variable: subject in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 378]
2013-12-17 18:26:12 Notice: Notice (8): Undefined variable: replyTo in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 414]
2013-12-17 18:29:03 Notice: Notice (8): Undefined variable: country_val in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 255]
2013-12-17 18:29:03 Notice: Notice (8): Undefined index: video_file in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 282]
2013-12-17 18:33:20 Notice: Notice (8): Undefined variable: data in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 1179]
2013-12-17 18:33:21 Notice: Notice (8): Undefined variable: data in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 1179]
2013-12-17 18:36:15 Notice: Notice (8): Undefined variable: country_val in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 255]
2013-12-17 18:36:15 Notice: Notice (8): Undefined index: video_file in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 282]
2013-12-17 18:36:52 Notice: Notice (8): Undefined variable: country_val in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 255]
2013-12-17 18:36:52 Notice: Notice (8): Undefined index: video_file in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 282]
2013-12-17 18:45:56 Notice: Notice (8): Undefined variable: project_id in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 455]
2013-12-17 18:54:17 Notice: Notice (8): session_start(): ps_files_cleanup_dir: opendir(/var/lib/php/session) failed: Permission denied (13) in [/var/www/vhosts/boostbloom.com/httpdocs/vendor/facebook/php-sdk/src/facebook.php, line 59]
2013-12-17 18:57:12 Notice: Notice (8): Undefined index: end_date in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 1022]
2013-12-17 19:18:31 Notice: Notice (8): Undefined index: end_date in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 1022]
2013-12-17 19:43:29 Notice: Notice (8): Undefined index: is_cancelled in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 1675]
2013-12-17 21:20:00 Notice: Notice (8): Undefined variable: subject in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 378]
2013-12-17 21:20:00 Notice: Notice (8): Undefined variable: replyTo in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 414]
2013-12-18 05:02:01 Notice: Notice (8): session_start(): ps_files_cleanup_dir: opendir(/var/lib/php/session) failed: Permission denied (13) in [/var/www/vhosts/boostbloom.com/httpdocs/vendor/facebook/php-sdk/src/facebook.php, line 59]
2013-12-18 05:43:25 Notice: Notice (8): Undefined index: is_cancelled in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 1675]
